,ID,SUMMARY
315,LUCENE-952, GData's TestGdataIndexer.testDestroy() intermittently hits spin loop & causes build timeout 
316,LUCENE-3703, DirectoryTaxonomyReader.refresh misbehaves with ref counts 
317,LUCENE-1283, Factor out ByteSliceWriter from DocumentsWriterFieldData 
318,LUCENE-3790," benchmark cannot parse highlight-vs-vector-highlight.alg, but only on 3.x?! "
319,LUCENE-3730, Improved Kuromoji search mode segmentation/decompounding 
320,LUCENE-3506, tests for verifying that assertions are enabled do nothing since they ignore AssertionError 
321,LUCENE-3436," Spellchecker ""Suggest Mode"" Support "
322,LUCENE-3719, FVH: slow performance on very large queries 
323,LUCENE-2663, wrong exception from NativeFSLockFactory (LIA2 test case) 
324,LUCENE-2043, Fix CommitIndexTask to also commit IndexReader changes 
325,LUCENE-1483, Change IndexSearcher multisegment searches to search each individual segment using a single HitCollector 
326,LUCENE-1126, Simplify StandardTokenizer JFlex grammar 
327,LUCENE-3142, benchmark/stats package is obsolete and unused - remove it 
328,LUCENE-1656," When sorting by field, IndexSearcher should not compute scores by default "
329,LUCENE-3541, remove IndexInput.copyBuf 
330,LUCENE-1260, Norm codec strategy in Similarity 
331,LUCENE-1500, Highlighter throws StringIndexOutOfBoundsException 
332,LUCENE-2370, Reintegrate flex branch into trunk 
333,LUCENE-1118, core analyzers should not produce tokens > N (100?) characters in length 
334,LUCENE-489," Allow QP subclasses to support Wildcard Queries with leading ""*"" "
335,LUCENE-380, A new Greek Analyzer for Lucene 
336,LUCENE-513, Remove superfluous comment in MMapDirectory.java 
337,LUCENE-2784, Change all FilteredTermsEnum impls into TermsEnum decorators 
338,LUCENE-3679, Replace IndexReader.getFieldNames with IndexReader.getFieldInfos 
339,LUCENE-786, Extended javadocs in spellchecker 
340,LUCENE-1165, Reduce exposure of nightly build documentation 
341,LUCENE-1349, Mark Fieldable as allowing some changes in 2.x future releases 
342,LUCENE-821, single norm file still uses up descriptors 
343,LUCENE-3393, Rename EasySimilarity to SimilarityBase 
344,LUCENE-2532, improve test coverage of multi-segment indices 
345,LUCENE-2830, Use StringBuilder instead of StringBuffer in benchmark 
346,LUCENE-3711, small SentinelIntSet can cause infinite loop on resize 
347,LUCENE-1704, org.apache.lucene.ant.HtmlDocument added Tidy config file passthrough availability 
348,LUCENE-2491, Extend Codec with a SegmentInfos writer / reader 
349,LUCENE-2297, IndexWriter should let you optionally enable reader pooling 
350,LUCENE-2401, Improve performance of CharTermAttribute(Impl) and also fully implement Appendable 
351,LUCENE-1819, MatchAllDocsQuery.toString(String field) does not honor the javadoc contract 
352,LUCENE-3083, MockRandomMergePolicy optimizes segments not in the Set passed in 
353,LUCENE-3430, TestParser.testSpanTermXML fails with some sims 
354,LUCENE-2733, Add private ctors to static utility classes 
355,LUCENE-1860," switch MultiTermQuery to ""constant score auto"" rewrite by default "
356,LUCENE-1754, Get rid of NonMatchingScorer from BooleanScorer2 
357,LUCENE-1084, increase default maxFieldLength? 
358,LUCENE-1640, MockRAMDirectory (used only by unit tests) has some synchronization problems 
359,LUCENE-545, Field Selection and Lazy Field Loading 
360,LUCENE-317," [PATCH] When locks are disabled, IndexWriter.close() throws NullPointerException "
361,LUCENE-1506, Adding FilteredDocIdSet and FilteredDocIdSetIterator 
362,LUCENE-1160, MergeException from CMS threads should record the Directory 
363,LUCENE-2908, clean up serialization in the codebase 
364,LUCENE-768," Exception in deleteDocument, undeleteAll or setNorm in IndexReader can fail to release write lock on close "
365,LUCENE-249, Demo: DeleteFiles doesn't delete files by their path names 
366,LUCENE-289, [patch] better support gcj compilation 
367,LUCENE-898, contrib/javascript is not packaged into releases 
368,LUCENE-1152, SpellChecker does not work properly on calling indexDictionary after clearIndex 
369,LUCENE-532, [PATCH] Indexing on Hadoop distributed file system 
370,LUCENE-1073," Add unit test showing how to do a ""live backup"" of an index "
371,LUCENE-3351, DirectSpellChecker throws NPE if field doesn't exist 
372,LUCENE-3484," TaxonomyWriter parents array creation is not thread safe, can cause NPE "
373,LUCENE-3661, move deletes under codec 
374,LUCENE-1634, LogMergePolicy should use the number of deleted docs when deciding which segments to merge 
375,LUCENE-2715, optimize fuzzytermsenum per-segment 
376,LUCENE-2711, BooleanScorer.nextDoc should also delegate to sub-scorer's bulk scoring method 
377,LUCENE-3881, Create UAX29URLEmailAnalyzer: a standard analyzer that recognizes URLs and emails 
378,LUCENE-3738, Be consistent about negative vInt/vLong 
379,LUCENE-3139, LuceneTestCase.afterClass does not print enough information if a temp-test-dir fails to delete 
380,LUCENE-2960, Allow (or bring back) the ability to setRAMBufferSizeMB on an open IndexWriter 
381,LUCENE-3698, FastVectorHighlighter adds a multi value separator (space) to the end of the highlighted text 
382,LUCENE-2194, improve efficiency of snowballfilter 
383,LUCENE-1662, consolidate FieldCache and ExtendedFieldCache instances 
384,LUCENE-3175, speed up core tests 
385,LUCENE-2638, Make HighFreqTerms.TermStats class public 
386,LUCENE-2226, move contrib/snowball to contrib/analyzers 
387,LUCENE-3656," IndexReader's add/removeCloseListener should not use ConcurrentHashMap, just a synchronized set "
388,LUCENE-495, Suggested Patches to MultiPhraseQuery and QueryTermExtractor (for use with HighLighter) 
389,LUCENE-1490, CJKTokenizer convert   HALFWIDTH_AND_FULLWIDTH_FORMS wrong 
390,LUCENE-352, [PATCH] NullPointerException when using nested SpanOrQuery in SpanNotQuery 
391,LUCENE-2188, A handy utility class for tracking deprecated overridden methods 
392,LUCENE-1127, TokenSources.getTokenStream(Document...)  
393,LUCENE-1210, IndexWriter & ConcurrentMergeScheduler deadlock case if starting a merge hits an exception 
394,LUCENE-1835, Signature changes in AttributeSource for better Generics support of AddAttribute/getAttribute 
395,LUCENE-2273, FieldCacheImpl's getCacheEntries() is buggy as it uses WeakHashMap incorrectly and leads to ConcurrentModExceptions 
396,LUCENE-2014, position increment bug: smartcn 
397,LUCENE-2385, Move NoDeletionPolicy from benchmark to core 
398,LUCENE-906, Elision filter for simple french analyzing 
