,ID,SUMMARY
378,JCR-788, Upgrade to Lucene 2.2 
379,JCR-1658, Executing query throws UnsupportedRepositoryOperationException(LEVEL_2_SUPPORTED) for a level 1 only implementation  
380,JCR-32, sysview export/import of multivalue properties seems not to work 
381,JCR-1233, Create org.apache.jackrabbit.core.id 
382,JCR-3184, extend ConsistencyChecker API to allow adoption of orphaned nodes to a to-be-specified parent node 
383,JCR-373, all references to incubator need to be replaced with new locations 
384,JCR-353, TransientRepository does not shutdown if first login fails 
385,JCR-125, Repository holds onto Session instance after logout 
386,JCR-1331, Improper deprecation of Locked class 
387,JCR-1739, Do not use deletable anymore 
388,JCR-306, repositoryConfig should use setter for its internal components 
389,JCR-39, document view: importXML() fails on protected property jcr:primaryType 
390,JCR-1580, Typo in PropertyDefinitionTemplate 
391,JCR-929, Under Heavy load in a Cluster HTTP Threads Block and stall requests 
392,JCR-1095, ReferencesPropertyTest can't deal with multivalued reference properties 
393,JCR-553, problem in jcr-server/project.properties dependencies? 
394,JCR-2026, DbDataStore: garbage collection deadlock 
395,JCR-429, Session scoped lock not always removed on Session.logout() 
396,JCR-2206, Replace NodeReferencesId with NodeId 
397,JCR-772, Merging between workspaces fails 
398,JCR-2862, Jackrabbit logs a NullPointerException on shutdown if the version manager wasn't initialized 
399,JCR-270, Importer drops jcr:xmlcharacters fields after a large jcr:xmlcharacters entry 
400,JCR-1550, Remove ItemInfo.getName() since it is redundant 
401,JCR-898, Improve excerpt fragments 
402,JCR-568, incorrect jcr:uuid on frozen subnode 
403,JCR-2810, Error creating DB2 table for Journaling 
404,JCR-3172, implement PERSIST events for the EventJournal 
405,JCR-1545, webapp: troubleshooting.jsp fails 
406,JCR-2716, OracleDatabaseJournal should assume Oracle defaults 
407,JCR-10, save() might create new transient properties 
408,JCR-1295, Tablespace (Filegroup) support for MS SQL Server 
409,JCR-1523," [PATCH] png, apng, mng text extractor "
410,JCR-1495, NamespaceAdder.addNamespace throws ClassCastException 
411,JCR-2287, Mandatory jcr:activities node missing after upgrade 
412,JCR-2048, Workspace is shut down while creating initial index 
413,JCR-1359, Adding nodes from concurrently running sessions cause exceptions 
414,JCR-2672, Cache also failed principal lookups 
415,JCR-2327, java.util.UUID.fromString() too slow 
416,JCR-2772, replacing an extended mixin with it's supertype is problematic 
417,JCR-304, Set up a release goal in Maven 
418,JCR-95, Build instructions for contributions 
419,JCR-2038, Lower log level in o.a.j.jcr2spi.query.NodeIteratorImpl 
420,JCR-2063, FileDataStore: garbage collection can delete files that are still needed 
421,JCR-415, Enhance indexing of binary content 
422,JCR-2684, Setting Query.setOffset() passed the results total returns negative getSize() instead of zero 
423,JCR-3019, RepositoryImpl.activeSessions should use Session instead of SessionImpl 
424,JCR-1765, Config: make all elements in the security configuration optional 
425,JCR-2832, Crash when adding node to cluster with big journal on PSQL DB 
426,JCR-1081, bad test assumptions in org.apache.jackrabbit.test.api.lock 
427,JCR-705, PdfTextExtractor does not close temp file in case of an error 
428,JCR-915, Invalid Journal Record appearing when read during sync operation 
429,JCR-1085, Remove unused LuceneQueryBuilder.createQuery() method 
430,JCR-1430, mvn eclipse:eclipse inconsistent 
431,JCR-2837, Test failures in jcr-rmi and jcr2dav 
432,JCR-68, Lock.getNode() does not return lock holder 
433,JCR-2940, PrivilegeDefinition should implement equals and hashcode 
434,JCR-594, It's not possible to register event listeners that filters on mixin supertypes 
435,JCR-1025, Node Type Management subproject : Default namespace should be emtpy 
436,JCR-835, Java 1.4 compile error in Eclipse 
437,JCR-958, Use jackrabbit-jcr-commons in jackrabbit-jcr-rmi 
438,JCR-3132, Test tooling updates 
439,JCR-602, importXML still depends on Xerces 
440,JCR-865, JCR mapping: Upgrade to Maven 2 
441,JCR-120, Jackrabbit fails to shutdown properly when tomcat is shutting down 
442,JCR-1200, allow SPI implementation to compute default values for autocreated properties 
443,JCR-3248, TimeoutHandler visitor should be extracted into a dedicated class 
444,JCR-2890, Deadlock in acl.EntryCollector / ItemManager 
445,JCR-343, Jcr-server: Report#init limits the Report interface to DeltaV compliant resources 
446,JCR-1679, Simple Webdav: dir with same name as repository has incorrect behavior 
447,JCR-940, add db connection autoConnect for BundleDbPersistenceManager. 
448,JCR-2710, Add support for large number of users in a group 
449,JCR-758, QueryResult's RowIterator.getSize returned the wrong size of the results after I implemented my own AccessManager 
450,JCR-514, TCK: NodeOrderableChildNodesTest tests node order even if node type doesn't support child node ordering 
451,JCR-755, Add Bundle Persistence Managers 
452,JCR-193, MultiStatus response for PROPPATCH (copied from JCR-175) 
453,JCR-1413, [PATCH] retain exception stack traces 
